"Time";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
0,1;5,03225344560328;5,0118601337498;5,04008218964939;5,03312065076369;5,04614533894899;5,02049459660274;5,05743187848002;5,06994350754554;5,02454588505836;5,02526237351015;5,03036924362021;5,06323460229286;5,0305561922605;5,03938331781933;5,04245825810645;5,02448133527012;5,01858764278526;5,04871831134039;5,02267086867608;5,01759206399674;5,02673007072655;5,05342813582399;5,03437426845737;5,04266888571264;5,03832903770146;5,02079938281473;5,03601134806113;5,04372013812855;5,03080404911451;5,05314399238147;5,03965999653779;5,01184983335102;5,0271081921916;5,04955469926104;5,06448610053845;5,0634365340265;5,04190143559618;5,00005171044182;5,04976754093795;5,04545100466646;5,03678556440477;5,0372623719284;5,03100532102765;5,0506481181077;5,03191752188828;5,05107750000005;5,05096800890512;5,03498320020991;5,02910431552227;5,04178194233294;5,02243113505866;5,04106412104536;5,0409599055159;5,04010804515967;5,03631793608963;5,05061511441251;5,05696949579227;5,05503293653996;5,02116768389174;5,02380419791481;5,01652751916248;5,04947890772923;4,99889433215028;5,03838453936914;5,04887265338338;5,02572489905024;5,00292007559228;5,03740621614396;5,01528407743475;5,04906510780415;5,02817206038591;5,01715069623869;5,04122351827573;5,01168631000263;5,070292731528;5,0405914908879;5,06284818447652;5,03715362541097;5,02817821946829;5,04340806453497;5,02876033574916;5,02947173433858;5,04722267970444;5,02575440671242;5,06221734857478;5,02703452556873;5,02613333123857;5,03641731217935;5,03327828396346;5,03819260766177;5,03316485643121;5,03332033465472;5,04852324516506;5,03732963554894;5,0073514145449;5,02327736348604;5,02777177924242;5,03924117275257;5,04171225211694;5,05968342109122
0,2;5,05423953347115;5,06838008654781;5,07659234329208;5,08750050332296;5,1078335096581;5,06742654368293;5,09630591746588;5,11840582216849;5,07592449135651;5,0452478448083;5,09179199217304;5,11001422977106;5,0505196494376;5,06433313100579;5,10022287293022;5,04434075180175;5,05338481266911;5,07108703996322;5,02251135785031;5,04329737601248;5,0898899832746;5,09975679009778;5,05755249092646;5,08529526035305;5,07808992529057;5,04243504309951;5,07743715425458;5,09091600452878;5,07434821911779;5,10981692654488;5,05642549174822;5,03249784047724;5,08531309319396;5,05492916052788;5,11075047806176;5,09501155943371;5,06269223868109;5,02351664319808;5,07294246221285;5,10610821048956;5,06305686093527;5,08990733483837;5,06514482064721;5,06263196021372;5,05982818404865;5,06750984998349;5,0788234460106;5,05903685074596;5,05527948950003;5,06388049178371;5,06955144701075;5,0768119060295;5,06176433652739;5,07435715278044;5,09749570924042;5,07768660240042;5,09186257830326;5,08693652970732;5,0514460892197;5,04965504802904;5,03148613159771;5,1157974874555;5,0461635984285;5,07451085198404;5,10574602480222;5,08258109607034;5,03349467395196;5,0586072596837;5,05303935507431;5,12287986324718;5,09073365274948;5,0538285507462;5,09384371172212;5,03399249529893;5,12501469755389;5,06282825260268;5,10991736573033;5,05735238349452;5,0645167571127;5,07241581723896;5,06525450440811;5,0927664368285;5,08438561895983;5,0584572180176;5,11104239504506;5,03504646281043;5,05444516866856;5,06815558501687;5,06546184884062;5,0830377124177;5,05090567464671;5,07332680174451;5,09986561690311;5,07931232614847;5,07168852295818;5,05362667155647;5,06544604340692;5,06086449558421;5,07294827055055;5,09352012542539
0,3;5,11289245165548;5,08840795323276;5,11153974273348;5,11335561549527;5,1267786896949;5,08659272155703;5,16497883310466;5,13425769842461;5,12351226598946;5,07567934465043;5,08932152482031;5,15552142599893;5,07292056428854;5,10523813471751;5,14787214624222;5,06202816187391;5,0683285956671;5,11729524177145;5,04506379856875;5,08296193476301;5,10132078811292;5,14397718782954;5,1445031852768;5,10991410918592;5,13743449327799;5,07206494626775;5,11038075653145;5,13142526817331;5,0827200982232;5,15807705994251;5,08303444735945;5,04819145448901;5,12234208688696;5,08752605740709;5,1601595471969;5,11420186346129;5,09541481062179;5,06020737255762;5,10078211378369;5,12426947189533;5,09871875479155;5,12413281302661;5,10759616877593;5,09432777755036;5,09917571185965;5,10224290591727;5,12356616581393;5,09493637681302;5,08822994490227;5,10576321573295;5,08798419577842;5,09336205557835;5,09650095582283;5,11393863546452;5,11989148009296;5,09445791909161;5,09776503814827;5,12698050353393;5,12119274947404;5,08381051054699;5,0478667301467;5,13261157161645;5,10013338812581;5,06692293787965;5,12932636538458;5,11517961851981;5,04251721401041;5,08009632927241;5,07168904669413;5,13133670818519;5,12772568062026;5,06888471476731;5,13072823892241;5,07603028031397;5,18011379570332;5,11929130111456;5,10025973261409;5,11557291200191;5,12417744941478;5,09200764221253;5,10296247659462;5,10666029773627;5,15346330321515;5,08933607919697;5,14933546882;5,08942212741202;5,06691153119536;5,07084997625912;5,08892227511399;5,14681172244695;5,07381994607031;5,12213014700382;5,17002568973557;5,12173765538116;5,13709825663083;5,07842528636944;5,07104664261619;5,13046159233484;5,10107195908375;5,14399119286058
0,4;5,14394638174503;5,11089572692833;5,14689473732328;5,1369953379634;5,16184402840122;5,1185701802937;5,21360617417041;5,16014979992472;5,14283456996654;5,08566460935313;5,1375264832996;5,19757548465387;5,11354011133033;5,13153962928632;5,16603757344659;5,08529998724624;5,10267478164935;5,13332737050004;5,09823943710845;5,108441252508;5,13968430723734;5,15691518699366;5,20793062454787;5,16604619523597;5,18667173357608;5,07646961602532;5,15333176686091;5,14630231128268;5,12983201111277;5,21475800298506;5,11049566868257;5,08468667300623;5,14703779697824;5,10375016221378;5,20797478372685;5,10278386348145;5,10186766593974;5,08102896508483;5,15061660302458;5,14618175991212;5,16175901107886;5,16093125883615;5,12254158624399;5,12613934153932;5,15044752987145;5,15330475090455;5,15054961198986;5,14291521739725;5,14657880162028;5,09579155011801;5,13032527185328;5,12198005176127;5,13442051002931;5,12853250581447;5,14876853641596;5,14770487316351;5,12705072409044;5,1551429116857;5,13739278885312;5,09852754081145;5,10418490074456;5,17194690212431;5,11313355536473;5,07698791087603;5,18457433068841;5,17623935903014;5,11234158832607;5,08948646356073;5,10985787016615;5,15055546155557;5,1573723467589;5,09456048252958;5,15773178010708;5,12469360935326;5,23532166611128;5,1526448030689;5,10416623620213;5,13944469577131;5,15750646490982;5,13811297374399;5,15723937364843;5,17212284565314;5,23018515393527;5,12073790554156;5,19600730535722;5,12913980160472;5,07980318916714;5,08513598757327;5,137706216504;5,19963122152928;5,11494576483587;5,14990009107862;5,22741941651222;5,12676822417419;5,18334726254471;5,10728713146941;5,15103322402787;5,15915645895629;5,13469579647842;5,16735699014765
0,5;5,14977070288198;5,14758186959974;5,23674833862322;5,18924564583104;5,21533414110438;5,15516372167745;5,25198181622823;5,19993946264796;5,20054823652741;5,15444968557823;5,16853847509108;5,25262565088354;5,16374796254429;5,15972696432022;5,214868955389;5,13321552291909;5,12514757871065;5,16023998466658;5,14361710338191;5,13626467375249;5,17511485919043;5,19401926308636;5,2594209182189;5,18871301310069;5,26882802514823;5,11430288290522;5,18141000549817;5,17795293945418;5,17838983642788;5,25040521098889;5,15633736627602;5,10841758851982;5,175878669968;5,14789198941195;5,23842483060864;5,14149635486;5,14929860106594;5,10836295903547;5,15720859252709;5,15616149990066;5,21106008031325;5,20404809185018;5,16282530762752;5,15526005271047;5,19754658341146;5,17016246572708;5,15508399475302;5,16500528189228;5,17537459940319;5,12862367194303;5,16858395109709;5,15460111261358;5,18494967911386;5,14519019431925;5,18230622314681;5,19428895175705;5,17858902071658;5,18007920736789;5,19535598312926;5,13012790475205;5,133244003622;5,21138664824649;5,13204757651312;5,12418687060824;5,20864508024725;5,18783270085937;5,14021685201181;5,13245474999487;5,13178277306086;5,18949211452726;5,16927860070114;5,13758640544011;5,20254927486295;5,15528503028994;5,2691961396422;5,17840107371759;5,12741497687343;5,1407157479013;5,170610568937;5,19260102195844;5,21624802615473;5,21592261173846;5,30649906404184;5,14437581431808;5,23794952600456;5,1452843254651;5,11102725889707;5,09751087290283;5,15970866396208;5,26902948032118;5,15802631807302;5,21551097214579;5,26510432146374;5,17594424894811;5,22324948677257;5,12114671672961;5,20157840576572;5,20548747704539;5,17773146220793;5,19494078825524
0,6;5,18125787508711;5,18889866825252;5,24538063760949;5,22307647461571;5,27595961227559;5,20345122834649;5,26475266625556;5,23438137945021;5,25044089700835;5,19725628092863;5,20850467802805;5,315998324296;5,17782907333184;5,18194879807558;5,27309229023433;5,19994787193203;5,16394419376957;5,19636318231122;5,18232347576867;5,1741340140001;5,16611296902158;5,21239122117807;5,29512311379407;5,2119133485293;5,30235263454049;5,13063618675807;5,22292496944629;5,22601248893965;5,21180004952194;5,315832828945;5,18386657053406;5,14328816046594;5,20587629344551;5,18865574882353;5,25992056696299;5,15643580043006;5,19258444917356;5,11290007722315;5,21683828756059;5,18159858116374;5,23886788522845;5,2367407055899;5,17690629478356;5,19322702944681;5,23205595243811;5,20680428458658;5,19619762892536;5,18730585032815;5,22322901578685;5,16116833586323;5,21357600641553;5,17269109507024;5,24979836616212;5,17614729690354;5,19475267779108;5,25690172463905;5,22282824292086;5,21575400238216;5,23064220629414;5,14686230267552;5,17849678258765;5,19027528735099;5,14443165425968;5,15674173437742;5,26340903529579;5,22660431658235;5,18546210131038;5,16554736116545;5,15637670544956;5,22382269675597;5,210384062856;5,19024100825855;5,20733483744486;5,20092952924941;5,27788249182743;5,19343119683376;5,17594146042898;5,17215903590276;5,18931588503008;5,22982414446398;5,2612107932569;5,26887340992636;5,32472039660851;5,14155590960942;5,25904237721659;5,1584891543531;5,14909026024925;5,13882844920579;5,18573956777066;5,30745336984157;5,19917454192298;5,26946557220644;5,3065108484298;5,21252495361622;5,27294957091983;5,17688974957428;5,23557764261979;5,24682549810042;5,21952387117992;5,2578548341044
0,7;5,19999694213669;5,22955940391715;5,26250479314818;5,27812891397641;5,32692492497326;5,23879720827388;5,29863853954195;5,28729179045329;5,26785322256206;5,21912478935604;5,25410460739622;5,34824686910438;5,20006060343149;5,21755185058918;5,29159629017674;5,25801946260181;5,2071752772732;5,2197821827072;5,19463957164842;5,21056936461104;5,21994803665707;5,22388356006913;5,32969808844821;5,24857746627168;5,35003187052445;5,16660361562279;5,2403210829277;5,25587271710979;5,21868861927296;5,38176435571483;5,21019221513467;5,17178594618587;5,2241270897761;5,24677478055083;5,26839550243693;5,19164993034289;5,23227820429643;5,14927362492105;5,27825318259964;5,21495624334637;5,23783930948127;5,26094320184931;5,22826107268631;5,222402272125;5,25844367967803;5,22656121271429;5,20478413302048;5,19931744277081;5,26615585641005;5,18678260501735;5,25414129189005;5,18540377623936;5,30483382499457;5,21965792492834;5,19196536115391;5,29351841933768;5,24889799469522;5,2591818159651;5,26524363738207;5,16051957753492;5,21787615461801;5,20323357021994;5,18386147250496;5,197661835441;5,27390890103586;5,26018471529611;5,22823307065502;5,22253435829778;5,20480517207603;5,22296138018642;5,22670469664808;5,21401843044513;5,24671985299744;5,2282413321525;5,32289880015717;5,23592243603202;5,20600395332306;5,18635471688437;5,20572104015517;5,28947291173643;5,29345384951296;5,3048642713687;5,37577769218083;5,14970240975937;5,29170416451634;5,18252654766357;5,19265401859363;5,15109807785613;5,19203769158114;5,33173565674396;5,24312137210106;5,29623863037344;5,37142441222836;5,21835253750676;5,30303538182338;5,22877777834593;5,28039407170909;5,2906887980525;5,26863121919172;5,2904480735664
0,8;5,24172227402285;5,23049156315572;5,31642771411641;5,27652098134268;5,34851797709857;5,3051669444091;5,34134800213763;5,3292058649562;5,3473419645774;5,24302730359823;5,26458295379548;5,36721027505445;5,2395270300274;5,2512183820241;5,33768085841592;5,28143671210104;5,24624787971585;5,25161454872794;5,20007252739633;5,2520994310493;5,22973142541868;5,24790715255675;5,36872256709607;5,30821364464801;5,36870172837157;5,20444125128938;5,27500122706008;5,29501917558117;5,24925427538447;5,43597595755362;5,24984449168625;5,21205305520135;5,25144653595979;5,29177054580333;5,30719670818493;5,22038187170149;5,27306615631084;5,1825681402146;5,31060537365908;5,23983454736666;5,24258307734771;5,28379018763927;5,25493178247329;5,24159860987155;5,2911467361436;5,23247991949723;5,25870975905085;5,24040572761052;5,29585912607219;5,19609711714931;5,28412548187007;5,18400724621205;5,32784671350167;5,24198817523169;5,23649822638592;5,29539510457431;5,27871524786809;5,31304374609356;5,28738321026366;5,20818496580264;5,25039371417414;5,2224007172213;5,21477323134783;5,22028841075932;5,28385275176547;5,29552884120089;5,24957309230504;5,24841531327109;5,2369456427191;5,27226977574747;5,2472194255426;5,23547001917219;5,2725831627432;5,23441445996269;5,36393496488038;5,25005657075318;5,25020525471223;5,19380684999838;5,2353063658478;5,31444304602478;5,34988111451784;5,30170673072704;5,38782534997059;5,19335544261444;5,33881951528089;5,21319441153016;5,23771749598585;5,17226000767812;5,24320821103569;5,34431495598965;5,28340275963288;5,32883329457042;5,40511308415396;5,25692874374994;5,34100546226802;5,25560295788591;5,2964552086755;5,30842115187306;5,32219066338927;5,36421183148489
0,9;5,24311068705379;5,27423605837349;5,29835839837913;5,30713799461484;5,36939532242795;5,32179614652939;5,40213860343915;5,32988308974576;5,37998251403139;5,28120139825466;5,26746678776024;5,35337815793298;5,25137400761253;5,29083798894684;5,40459982309246;5,34963240184032;5,28845098984016;5,2709547498977;5,23460986994596;5,3042505404944;5,26147486650502;5,26707773503891;5,44350299959464;5,32111019365239;5,39523390851241;5,24372229392183;5,32555195480325;5,31046468728977;5,26191467987955;5,46621589510502;5,27666301131432;5,20588422353685;5,29328630908558;5,33843988394805;5,34256503899728;5,23993300541601;5,29306962740886;5,22784712529508;5,31311224373415;5,27439728938964;5,27649339099433;5,33549701219045;5,30582040840973;5,25230341329369;5,31670197780616;5,25743652209457;5,28450226735114;5,24464215012276;5,3212928239883;5,24601407034306;5,34776472296631;5,2327502291861;5,35990634775875;5,2326546249581;5,26436798530348;5,33321060575768;5,33724156693079;5,3123452063428;5,33952502462385;5,24939268393758;5,2572859859921;5,27208806452405;5,26758650206096;5,26127465551264;5,31192540626781;5,28392964549707;5,27085971697592;5,27909353855552;5,23912955037662;5,30481508456225;5,26120230728019;5,26520113220494;5,32892610008246;5,2791984621773;5,37370391467784;5,26690541702587;5,28761345875414;5,23616645025501;5,29257386262918;5,36821519169765;5,38303140165634;5,3467392471348;5,41927279701933;5,2173082321396;5,37976609217431;5,26369677030578;5,30325156694945;5,2118416480042;5,29291254495713;5,37353225183003;5,2838276983955;5,37087274723891;5,44042552615133;5,30814665771879;5,38446629530874;5,27071689534967;5,33728128355788;5,32169758355004;5,37121809313692;5,38447004023134
